id,policy_title,description_short,agency,policy_area,status,status_detail,status_source,p2025_page,last_updated,status_bucket
272,Religious Freedom,HHS should rescind subjective case-by-case evaluations for religious and faith-based organizations that request religious exemptions,U.S. Department of Health and Human Services,Religious Freedom,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,494,2026-02-11,Not initiated
273,Religious Freedom,"HHS should restore OCR authority to review requests for and render opinions on the application of RFRA to requests for religious accommodation of people, families, and doctors who cannot in good conscience take or administer vaccines, including those made or tested with aborted fetal cell lines",U.S. Department of Health and Human Services,Religious Freedom,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,Not initiated
274,Section 1557,"HHS should restore Section 1557, Section 504, and other OCR regulations and fix guidance documents",U.S. Department of Health and Human Services,Section 1557,Initiated/Attempted,https://www.hhs.gov/sites/default/files/ocr-rescission-february-20-2025-notice-guidance.pdf,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,In progress
275,Section 1557,OCR should return its enforcement of sex discrimination to the statutory framework of Section 1557 and Title IX,U.S. Department of Health and Human Services,Section 1557,Completed,Trump Administration Rescinds Protections Against Discrimination on the Basis of Gender Identity Under Health Care Nondiscrimination Laws | Crowell & Moring LLP,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,Completed
276,Section 1557,OCR should remove all guidance issued under the Biden Administration concerning sexual orientation and gender identity under Section 1557,U.S. Department of Health and Human Services,Section 1557,Completed,Trump Administration Rescinds Protections Against Discrimination on the Basis of Gender Identity Under Health Care Nondiscrimination Laws | Crowell & Moring LLP,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,Completed
277,Section 1557,"OCR should issue a general statement of policy specifying that it will not enforce any prohibition on sexual orientation and gender identity discrimination in the Section 1557 regulation and that it will prioritize compliance with the First Amendment, RFRA, and federal conscience laws in any case implicating those claims",U.S. Department of Health and Human Services,Section 1557,Completed,Trump Administration Rescinds Protections Against Discrimination on the Basis of Gender Identity Under Health Care Nondiscrimination Laws | Crowell & Moring LLP,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,Completed
278,Section 1557,"DOJ should defend aggressively against inevitable court challenges to the Section 1557 regulation, including under cases such as Heckler v. Chaney",U.S. Department of Health and Human Services,Section 1557,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,495,2026-02-11,Not initiated
279,Section 1557,"OCR should issue a proposed rule to restore the Trump regulations under Section 1557, explicitly interpreting the law not to include sexual orientation and gender identity discrimination based on the textual approach to male and female biology taken by Congress in the ACA, the need to recognize biological distinctions as part of the sound practice of health care, and the need to ensure protections of medical judgment and conscience",U.S. Department of Health and Human Services,Section 1557,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,496,2026-02-11,Not initiated
280,Section 1557,"DOJ should agree to defend to the Supreme Court a proposed rule to restore the Trump regulations under Section 1557, if necessary",U.S. Department of Health and Human Services,Section 1557,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,496,2026-02-11,Not initiated
281,Section 1557,"OCR should issue a general statement of policy announcing that it plans to enforce Section 1557 discrimination bans by refocusing on serious cases of race, sex, and disability discrimination. In particular, OCR should highlight its 2019 investigation and voluntary resolution agreement with Michigan State University based on the sexual abuse of gymnasts by Larry Nassar",U.S. Department of Health and Human Services,Section 1557,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,496,2026-02-11,Not initiated
282,Physician-Assisted Suicide,"OCR should issue and finalize the Trump-era draft disability rights regulations concerning crisis standards of care and use of Quality of Life Adjusted Years (QALYs), and reissue and finalize a disability regulation (withdrawn by the Biden Administration) that prohibited discriminatory application of assisted suicide and denial of life-saving treatments for disabled newborns",U.S. Department of Health and Human Services,Physician-Assisted Suicide,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,496,2026-02-11,Not initiated
283,Abortion/Reproductive Health,OCR should withdraw its “Obligations Under Federal Civil Rights Laws to Ensure Access to Comprehensive Reproductive Health Care Services” guidance for retail pharmacies,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,Breaking: Trump is Scrubbing HIPAA Info off HHS Website,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,496,2026-02-11,Completed
284,Abortion/Reproductive Health,OCR should withdraw its Health Insurance Portability and Accountability Act (HIPAA) guidance on abortion,U.S. Department of Health and Human Services,Abortion/Reproductive Health,Completed,Breaking: Trump is Scrubbing HIPAA Info off HHS Website,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,497,2026-02-11,Completed
285,Personnel Organizational Agenda,"Assign all delegated powers to politically appointed PDAS, DAS, and other office leadership positions; change any current career leadership positions into political and non-career appointment positions; and use Senior Executive Service (SES) transfers to install aligned leadership.",U.S. Department of Housing and Urban Development,Personnel Organizational Agenda,Initiated/Attempted,"See, e.g., Executive Order, Restoring Accountability for Career Senior Executives (Jan. 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,508,2026-02-11,In progress
286,Personnel Organizational Agenda,"Make the HUD Secretary a member of the Committee on Foreign Investment in the U.S., bringing broader oversight authorities to address foreign threats, especially China.",U.S. Department of Housing and Urban Development,Personnel Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,508,2026-02-11,Not initiated
287,Personnel Organizational Agenda,Initiate a HUD task force consisting of politically appointed personnel to identify and reverse all actions taken by the Biden Administration to advance progressive ideology.,U.S. Department of Housing and Urban Development,Personnel Organizational Agenda,Completed,"E.g., HUD Secretary Launches DOGE Task Force to Eliminate Waste, Fraud, and Abuse; HUD, OMB Streamline Home Appraisal Process, Effectively Disband Woke Biden-Era Task Force",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,508,2026-02-11,Completed
288,Bureaucracy/Logistics,Conduct a thorough review of all subregulatory guidance that has been instituted outside of the Administrative Procedure Act (APA).,U.S. Department of Housing and Urban Development,Bureaucracy/Logistics,Completed,HUD has rescinded guidance documents: see here and here.,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,508,2026-02-11,Completed
289,Real Estate/Zoning,End the Biden Administration’s Property Appraisal and Valuation Equity (PAVE) policies and reverse any Biden Administration actions that attempt to modify the process of real estate appraisals.,U.S. Department of Housing and Urban Development,Real Estate/Zoning,Completed,"Certain PAVE policies rescinded: HUD, OMB update appraisal policies and disband task force",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,508,2026-02-11,Completed
290,Eligibility,Repeal the Affirmatively Furthering Fair Housing (AFFH) regulation reinstituted under the Biden Administration and any other uses of special-purpose credit authorities to further equity.,U.S. Department of Housing and Urban Development,Eligibility,Completed,"Affirmatively Furthering Fair Housing Revisions, 90 Fed. Reg. 11020  (Mar. 3, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,509,2026-02-11,Completed
291,Budget Organizational Agenda,Eliminate the new Housing Supply Fund.,U.S. Department of Housing and Urban Development,Budget Organizational Agenda,Completed,It appears that the FY26 HUD budget will not include the proposed Housing Supply Fund,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,509,2026-02-11,Completed
292,Eligibility,"Reduce the anti-marriage bias in housing assistance programs, strengthen work and work-readiness requirements, implement maximum term limits for residents in PBRA and TBRA programs, and end Housing First policies so that the department prioritizes mental health and substance abuse issues before jumping to permanent interventions in homelessness.",U.S. Department of Housing and Urban Development,Eligibility,Initiated/Attempted,Executive Order: Ending Crime and Disorder on America's Streets,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,509,2026-02-11,In progress
293,Bureaucracy/Logistics,Suspend all external research and evaluation grants in the Office of Policy Development and Research and end any projects that do not facilitate the regulatory impact analysis studies.,U.S. Department of Housing and Urban Development,Bureaucracy/Logistics,Proposed,The President's FY2026 Budget Proposal: Potential Impacts on Efforts to Prevent and End Homelessness,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,509,2026-02-11,In progress
294,Loan/Mortgage Policies,Increase the mortgage insurance premium (MIP) for all products above 20-year terms and maintain MIP for all products below 20-year terms and all refinances.,U.S. Department of Housing and Urban Development,Loan/Mortgage Policies,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,510,2026-02-11,Not initiated
295,Bureaucracy/Logistics,"Move the HUD Real Estate Assessment Center (REAC) from PIH to the Office of Housing, which already implements property standards in its multifamily housing lending programs through the multifamily accelerated processing (MAP) lending guidelines.",U.S. Department of Housing and Urban Development,Bureaucracy/Logistics,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,510,2026-02-11,Not initiated
296,Bureaucracy/Logistics,Give HUD the authority to streamline the enforcement of compliance with housing standards across the federal government and flexibility for physical inspections through private accreditation.,U.S. Department of Housing and Urban Development,Bureaucracy/Logistics,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,510,2026-02-11,Not initiated
297,Rollbacks,"Rollback on Biden's orders and reinstate the Trump-era Energy Dominance Agenda, rescind Secretarial Order (SO) 3398, and review all regulations, orders, guidance documents, policies, and similar agency actions made in compliance with that order.",U.S. Department of the Interior,Rollbacks,Initiated/Attempted,"Secretarial Order 3418 (February 3, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,521,2026-02-11,In progress
298,Rollbacks,"The new Administration must immediately reinstate the following Trump DOI secretarial orders like SO 3348, SO 3349, SO 3350, SO 3351, SO 3352, SO 3354, SO 3355, SO 3358, SO 3360, SO 3380, SO 3385, SO 3389",U.S. Department of the Interior,Rollbacks,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,521/522,2026-02-11,Not initiated
299,Rollbacks,"Conduct offshore oil and natural gas lease sales to the maximum extent permitted under the 2023–2028 lease program, with the possibility to move forward under a previously studied but unselected plan alternative.",U.S. Department of the Interior,Rollbacks,Completed,Department of the Interior Announces New 2025 Lease Sale in the Gulf of America,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,523,2026-02-11,Completed
300,Rollbacks,"Review all resource management plans finalized in the previous four years and, when necessary, select studied alternatives to restore the multi-use concept enshrined in FLPMA and to eliminate management decisions  that advance the 30 by 30 agenda.",U.S. Department of the Interior,Rollbacks,Completed,"Related: Use this link to see every resource management plan (RMP) that is being target of or has been overturned by CRA resolutions in Congress (here);
Congress uses CRA procedures to overturn multiple resource management plans (here);
Trump signs resolution disapproving of Bureau of Land Management plan for the National Petroleum Reserve (here);
BLM's heated Rock Springs plan took 12 years to finish. Now the feds must redo it in one (here). Utah Delegation Moves to Overturn Biden-Era Grand Staircase-Escalante Land-Use Rule (here).",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,523,2026-02-11,Completed
301,Rollbacks,"Set rents, royalty rates, and bonding requirements to no higher than what is required under the Inflation Reduction Act.",U.S. Department of the Interior,Rollbacks,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,523,2026-02-11,Not initiated
302,Rollbacks,"Abandon withdrawals of lands from leasing in the Thompson Divide of the White River National Forest, Colorado; the 10-mile buffer around Chaco Cultural Historic National Park in New Mexico (restoring the compromise forged in the Arizona Wilderness Act) and the Boundary Waters area in northern Minnesota if those withdrawals have not been completed. Meanwhile, revisit associated leases and permits for energy and mineral production  in these areas in consultation with state elected officials.",U.S. Department of the Interior,Rollbacks,Completed,"Related/partial completion: Providing for congressional disapproval of the rule submitted by the Bureau of Land Management for Withdrawal of Federal Lands; Cook, Lake, and Saint Louis Counties, MN (Boundary Waters, Jan. 26, 2026).",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,523,2026-02-11,Completed
303,Rollbacks,"Rescind the Biden rules and reinstate the Trump rules regarding, BLM waste prevention, The Endangered Species Act rules defining Critical Habitat and Critical Habitat Exclusions, The Migratory Bird Treaty Act, CEQ reforms to NEPA.",U.S. Department of the Interior,Rollbacks,Completed,"Removal of National Environmental Policy Act Implementing Regulations  (Februay 19, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,524,2026-02-11,Completed
304,Rollbacks,Reinstate President Trump’s plan for opening most of the National Petroleum Reserve of Alaska to leasing and development.,U.S. Department of the Interior,Rollbacks,Completed,"Interior Secretary Takes Steps to Unleash Alaska’s Extraordinary Resource Potential (March 20, 2025);
Interior withdraws restrictive special area policies in Alaska’s National Petroleum Reserve to advance energy development (July 28, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,524,2026-02-11,Completed
305,Alaska Native Claims Settlement Act,"Approve the 2020 National Petroleum Reserve Alaska Integrated Activity Plan (NPRA-IAP) by resigning the Record of Decision. (Secretary Haaland’s order reverted to the 2013 IAP, the science for which is out of date, unlike the 2020 IAP.)",U.S. Department of the Interior,Alaska Native Claims Settlement Act,Completed,Related: Congress Axes Biden-Era Protections That Shielded Alaskan Wetlands From Drilling (here),https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,524,2026-02-11,Completed
306,Alaska Native Claims Settlement Act,Reinstate the 2020 Arctic National Wildlife Refuge Environmental Impact Statement (EIS) by secretarial order and lift the suspension of the leases.,U.S. Department of the Interior,Alaska Native Claims Settlement Act,Completed,"BLM reinstituted the Coastal Plain Oil and Gas Leasing Program (October 23, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,524,2026-02-11,Completed
307,Alaska Native Claims Settlement Act,"Approve the 2020 Willow EIS, the largest pending oil and gas projection in the United States in the National Petroleum Reserve-Alaska, and expand
approval from three to five drilling pads.",U.S. Department of the Interior,Alaska Native Claims Settlement Act,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,530,2026-02-11,Not initiated
308,Wildlife and Waters,"Revoke National Park Service and U.S. Fish and Wildlife Service rules regarding predator control and bear baiting, which are matters for state
regulation. Such revocation is permitted under the 2017 Congressional Review Act.",U.S. Department of the Interior,Wildlife and Waters,Proposed,"Interior Proposes to Restore State-Aligned Hunting Regulations on Alaska National Preserves (March 6, 2026)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,531,2026-02-11,In progress
309,Wildlife and Waters,"Issue a secretarial order declaring navigable waters in Alaska to be owned by the state so that the lands beneath these waters belong to Alaska. This will force the BLM to prove that water is not navigable, since in the case  of non-navigability, any submerged lands belong to the BLM. Currently, BLM requires Alaska to prove navigability at its own expense—including the BLM’s preposterous assertion that the mighty Yukon River is non-navigable.",U.S. Department of the Interior,Wildlife and Waters,Completed,"Partial completion: Alaska Secures Statehood Rights in Fortymile River Case (December 29, 2025).",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,531,2026-02-11,Completed
310,Wildlife and Waters,Reinstate President Trump’s 2020 Alaska Roadless Rule for the Tongass National Forest in Alaska.,U.S. Department of the Interior,Wildlife and Waters,Proposed,"Related: Secretary Rollins Rescinds Roadless Rule (June 23, 2025), also USDA opened public comment period (August 27, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,532,2026-02-11,In progress
311,30 by 30 Plan,President must take immediate action on the 30 by 30 plan by vacating a secretarial order issued by the Biden DOI that eliminated the Trump Administration’s requirement for the approval of state and local governments before federal acquisition of private property with monies from the Land and Water Conservation Fund.,U.S. Department of the Interior,30 by 30 Plan,Initiated/Attempted,"Secretarial Order 3442 - Land and Water Conservation Fund Implementation by the U.S. Department of the Interior (September 4, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,532,2026-02-11,In progress
312,NEPA Reforms,"The Trump Administration adopted common-sense NEPA reform that must be restored immediately. Meanwhile, DOI should reinstate the secretarial orders adopted by the Trump Administration, such as placing time and page limits on NEPA documents and setting forth—on page one—the costs of the document itself.",U.S. Department of the Interior,NEPA Reforms,Completed,"Partial completion: Emergency Permitting Procedures to Strengthen Domestic Energy Supply (April 23, 2025).",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,533,2026-02-11,Completed
313,Endangered Species Act,Delist the grizzly bear in the Greater Yellowstone and Northern Continental Divide Ecosystems and defend to the Supreme Court of the United States the agency’s fact-based decision to do so.,U.S. Department of the Interior,Endangered Species Act,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,534,2026-02-11,Not initiated
314,Endangered Species Act,"Cede to western states jurisdiction over the greater sage-grouse, recognizing the on-the-ground expertise of states and preventing use of the sage-grouse to interfere with public access to public land and economic activity.",U.S. Department of the Interior,Endangered Species Act,Initiated/Attempted,"Secretarial Order 3418 (February 3, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,534,2026-02-11,In progress
315,Endangered Species Act,Abolish the Biological Resources Division of the U.S. Geological Survey and obtain necessary scientific research about species of concern from universities via competitive requests for proposals.,U.S. Department of the Interior,Endangered Species Act,Initiated/Attempted,"Related: see ""Trump swings budget ax at USGS biology research"" and 
""Trump cuts would scrap the USGS biological research arm""",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,534,2026-02-11,In progress
316,Office of Surface Mining,"Reduce the number of field coal-reclamation inspectors to recognize the
industry is smaller.",U.S. Department of the Interior,Office of Surface Mining,Initiated/Attempted,"Related: see Mine Safety and Health Administration office closures (March 31, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,535,2026-02-11,In progress
317,Office of Surface Mining,Reissue Trump’s Schedule F executive order to permit discharge of nonperforming employees,U.S. Department of the Interior,Office of Surface Mining,Completed,"Executive Order 14171  (January 20, 2025):
Guidance on Implementing President Trump’s Executive Order 14171 (January 27, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,535,2026-02-11,Completed
318,Western Water Issues,"Implement actions identified in the Federal Action Plan for Improving Forecasts of Water Availability, especially by adopting improvements related to Forecast Informed Reservoir Operations and Aerial Snow Observation Systems.",U.S. Department of the Interior,Western Water Issues,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,536,2026-02-11,Not initiated
319,Western Water Issues,Reinstate Presidential Memorandum on Promoting the Reliable Supply and Delivery of Water in the West,U.S. Department of the Interior,Western Water Issues,Initiated/Attempted,"Related: Putting People over Fish (Memorandum, Jan. 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,536,2026-02-11,In progress
320,American Indians,End the war on fossil fuels and domestically available minerals and facilitate their development on lands owned by Indians and Indian nations.,U.S. Department of the Interior,American Indians,Initiated/Attempted,"Secretarial Order 3418 (February 3, 2025);
Executive Order (March 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,537,2026-02-11,In progress
321,American Indians,End federal mandates and subsidies of electric vehicles.,U.S. Department of the Interior,American Indians,Initiated/Attempted,"Secretarial Order 3418 (February 3, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,537,2026-02-11,In progress
322,American Indians,Restore the right of tribal governments to enforce environmental regulation on their lands.,U.S. Department of the Interior,American Indians,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,537,2026-02-11,Not initiated
323,FBI Integrity,"Conduct an immediate, comprehensive review of all major active FBI
investigations and activities and terminate any that are unlawful
or contrary to the national interest.",U.S. Department of Justice,FBI Integrity,Initiated/Attempted,"We've not found evidence of a comprehensive review focused on all FBI investigations, but there are ample examples of prosecutions (presumably alongside attendant investigations) being dropped.",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,549,2026-02-11,In progress
324,FBI Integrity,"Align the FBI’s placement within the department and the federal
government with its law enforcement and national security
purposes.",U.S. Department of Justice,FBI Integrity,Completed,Cf. https://www.npr.org/2025/06/02/nx-s1-5413254/a-look-at-the-drastic-changes-kash-patel-is-making-as-lead-of-the-fbi (providing an overview of Patel's in progress and planned changes to the FBI); https://www.blumenthal.senate.gov/newsroom/press/release/as-the-trump-administration-slashes-law-enforcement-funding-and-fires-national-security-agents-senators-write-patel-bondi-about-the-impact-on-public-safety,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,549,2026-02-11,Completed
325,FBI Integrity,"Prohibit the FBI from engaging, in general, in activities related
to combating the spread of so-called misinformation and
disinformation by Americans who are not tied to any plausible
criminal activity",U.S. Department of Justice,FBI Integrity,Completed,Restoring Freedom Of Speech And Ending Federal Censorship – The White House,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,550,2026-02-11,Completed
326,Violent Crime,"Use applicable federal laws to bring federal charges against
criminals when local jurisdictions wrongfully allow them to evade
responsibility for their conduct",U.S. Department of Justice,Violent Crime,Completed,https://www.pbs.org/newshour/politics/takeaways-from-trumps-federal-law-enforcement-surge-in-dc-as-his-emergency-order-is-set-to-expire,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,553,2026-02-11,Completed
327,Violent Crime,"Where warranted and proper under federal law, initiate legal action
against local officials—including District Attorneys—who deny
American citizens the “equal protection of the laws” by refusing to
prosecute criminal offenses in their jurisdictions.",U.S. Department of Justice,Violent Crime,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,553,2026-02-11,Not initiated
328,Violent Crime,Enforce the death penalty where appropriate and applicable.,U.S. Department of Justice,Violent Crime,Completed,Restoring The Death Penalty And Protecting Public Safety – The White House,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,554,2026-02-11,Completed
329,Domestic and International Criminal Enterprises,"Revitalize the DOJ’s use of the array of statutory tools that exist for
dealing with the threat of criminal organizations.",U.S. Department of Justice,Domestic and International Criminal Enterprises,Completed,Cf. https://www.whitehouse.gov/presidential-actions/2025/09/countering-domestic-terrorism-and-organized-political-violence/,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,554,2026-02-11,Completed
330,National Security,"Restart the China Initiative,  a program by the United States Department of Justice to prosecute potential Chinese spies in American research and industry, in order to combat economic espionage.",U.S. Department of Justice,National Security,Proposed,Cf. https://chu.house.gov/media-center/press-releases/rep-chu-senator-hirono-and-colleagues-oppose-recreation-trumps-china,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,556,2026-02-11,In progress
331,Rule of Law,"Issue guidance to ensure that litigation decisions are consistent with
the President’s agenda and the rule of law",U.S. Department of Justice,Rule of Law,Completed,General Policy Regarding Zealous Advocacy on Behalf of the United States,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,559,2026-02-11,Completed
332,Rule of Law,"Ensure that the DOJ spearheads an initiative demonstrating the
federal government’s commitment to nondiscrimination.",U.S. Department of Justice,Rule of Law,Completed,"Many CRT investigations launched, e.g., https://www.justice.gov/opa/pr/justice-department-launches-title-iv-and-title-vi-investigation-university-nevada-las-vegas",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,562,2026-02-11,Completed
333,Immigration,"At a minimum, pursue through rulemaking—and in partnership
with the Department of Homeland Security where appropriate—the
promulgation of every rule related to immigration that was issued
during the Trump Administration",U.S. Department of Justice,Immigration,Initiated/Attempted,"Report on the Trump Administration's Early 2025 Changes to Immigration Law (Last updated March 18, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,568,2026-02-11,In progress
334,Immigration,"Pursue proactive litigation to advance the federal government’s
interests in areas where erroneous precedent curtails authorities
provided by Congress (for example, by pursuing the overturning of
the Flores Settlement Agreement).",U.S. Department of Justice,Immigration,Initiated/Attempted,Justice Department sues Chicago and Illinois over 'sanctuary' laws,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,568,2026-02-11,In progress
335,Immigration,"Pursue aggressive enforcement of the immigration laws within the
Immigrant and Employee Rights Section of the Civil Rights Division
to ensure that no American citizen is discriminated against in the
employment context in favor of a temporary or foreign worker.",U.S. Department of Justice,Immigration,Completed,https://www.justice.gov/opa/pr/justice-department-reaches-new-settlement-protect-us-workers; https://www.justice.gov/crt/reporting-unfair-visa-related-employment-practices,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,568,2026-02-11,Completed
336,Department Resources,Undertake a comprehensive review of DOJ hiring practices.,U.S. Department of Justice,Department Resources,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,569,2026-02-11,Not initiated
337,Department Resources,"Eliminate Redundant Offices and Consolidating Functions to Increase
Efficiencies.",U.S. Department of Justice,Department Resources,Completed,"https://news.bloomberglaw.com/us-law-week/doj-rethinks-reorganization-tied-to-gender-affirming-care-probes (After Attorney General Pam Bondi gave final approval last week, following months of delays, to the department’s broader cost-cutting reorganization, Shumate messaged the civil division Monday to describe the new structure. His memo, a copy of which was obtained by Bloomberg Law, said that the consumer protection unit will be dissolved and split into two parts to separate its civil and criminal enforcement responsibilities.); https://www.whitehouse.gov/fact-sheets/2026/01/fact-sheet-president-donald-j-trump-establishes-new-department-of-justice-division-for-national-fraud-enforcement/; https://www.taxnotes.com/research/federal/irs-guidance/regulations-other-irs/doj-releases-rule-transfer-tax-division-functions/7tc81",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,570,2026-02-11,Completed
338,DEI,"Issue an executive order banning, and Congress should pass a law prohibiting the federal government from using taxpayer dollars to fund, all critical race theory training (CRT).",U.S. Department of Labor,DEI,Completed,"Executive Order 14151 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,582,2026-02-11,Completed
339,DEI,"Direct DOJ and EEOC to enforce Title VII to prohibit racial classifications and quotas, including human-resources classifications and DEI trainings that promote critical race theory.",U.S. Department of Labor,DEI,Completed,"Executive Order 14173 (January 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,582,2026-02-11,Completed
340,Workplace Discrimination,Eliminate EEO-1 data collection.,U.S. Department of Labor,Workplace Discrimination,Initiated/Attempted,"In April, the Trump administration announced significantly weakened reporting requirements",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,583,2026-02-11,In progress
341,Workplace Discrimination,Sign an executive order forbidding the Office of Federal Contract Compliance Programs (OFCCP) from using disparate impact in its analysis.,U.S. Department of Labor,Workplace Discrimination,Completed,"Executive Order 14173 (January 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,583,2026-02-11,Completed
342,Workplace Discrimination,"Eliminate the OFCCP, which exists to enforce EO 11246 (requiring federal contractors to commit to nondiscrimination).",U.S. Department of Labor,Workplace Discrimination,Completed,"Executive Order 14173 (January 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,583,2026-02-11,Completed
343,Workplace Discrimination,"Rescind EO 11246, thereby eliminating OFCCP.",U.S. Department of Labor,Workplace Discrimination,Completed,"Executive Order 14173 (Jan. 31, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,584,2026-02-11,Completed
344,Workplace Discrimination,Restrict Bostock v. Clayton County's application of sex discrimination protections to sexual orientation and transgender status in the context of hiring and firing.,U.S. Department of Labor,Workplace Discrimination,Completed,"EEOC Press Release (Jan. 28, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,584,2026-02-11,Completed
345,Workplace Discrimination,"Direct agencies to withdraw unlawful ""notices"" and ""guidances"" purporting to apply Bostock's reasoning broadly outside hiring and firing.",U.S. Department of Labor,Workplace Discrimination,Completed,"EEOC Press Release (Jan. 28, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,584,2026-02-11,Completed
